nombre_set,descripcion_efecto,efectox2
Armonía Umbría,"Upon hitting an enemy with an Aftershock or Dash Attack, if the DMG dealt aligns with the equipper's attribute, the equipper gains 1 stack of a buff effect, at most once per use of a skill. For each stack, the equipper's ATK increases by 4%, and CRIT Rate increases by 4%. The effect can stack up to 3 times and lasts for 15s. Repeated triggers reset the duration.","The DMG of Aftershocks and Dash Attacks is increased by 15%."
Balada de la rama y la espada,"When Anomaly Mastery exceeds or equals 115 points, the equipper's CRIT damage increases by 30%. When any squad member applies Freeze or triggers the Shatter effect on an enemy, the equipper's CRIT Rate increases by 12%, lasting 15s.","CRIT DMG +16%."
Blues Libre,"When an EX Special Attack hits an enemy, reduce the targets Anomaly Buildup RES to equippers attribute by 20% for 8s. This effect does not stack with others of the same attribute.","Anomaly Proficiency +30."
Disco sacudestrellas,"Basic Attacks, Dash Attacks, and Dodge Counters, inflict 20% more Daze upon the main target.","Impact +6%."
Fábula Yunkui,"When using [EX Special Attack], [Chain Attack], or [Ultimate], CRIT Rate increases by 4%, stacking up to 3 times and lasting 15s. Repeated triggers reset the duration. When having 3 stacks of this effect, Sheer DMG increases by 10%.","HP +10%."
Jazz caótico,"Fire DMG and Electric DMG are increased by 15%. When off-field, the damage caused by EX Special Attacks and Assist Attacks is increased by 20%. When the character switches back onto the field, this buff continues for 5s. The lasting effect can be triggered once every 7.5s.","Anomaly Proficiency +30."
Jazz Oscilante,"Launching a Chain Attack or Ultimate increases all squad members' DMG by 15% for 12s. Passive effects of the same name do not stack.","Energy Regen +20%."
Melodía de Phaeton,"When any squad member uses an EX Special Attack, the equipper's Anomaly Proficiency increases by 45 for 8s. If the character using the EX Special Attack is not the equipper, the equipper's Ether DMG is increased by 25%.","Anomaly Mastery +8%."
Metal caótico,"The equipper's CRIT DMG increases by 20%. When any character in the squad triggers Corruption's additional DMG, this effect further increases by 5.5% for 8s, stacking up to 6 times. Repeated triggers reset the duration.","Ether DMG +10%."
Metal colmilludo,"Whenever a squad member inflicts Assault on an enemy, the equipper deals 35% increased damage to the target for 12s.","Physical DMG +10%."
Metal eléctrico,"As long as an enemy in combat is Shocked, the equipper's ATK is increased by 28%.","Electric DMG +10%."
Metal infernal,"Upon hitting a Burning enemy, the equipper's CRIT Rate is increased by 28% for 8s.","Fire DMG +10%."
Metal Polar,"Increases the DMG of Basic Attack and Dash Attack by 20%. When any squad member inflicts Freeze or Shatter, this effect increases by an additional 20% for 12s.","Ice DMG +10%."
Monarca del Pináculo,"When the equipper is a Stun character and uses an EX Special Attack or Chain Attack, increases CRIT DMG of all squad members by 15%, and when the equipper's CRIT Rate is more than or equal to 50%, further increases CRIT DMG by 15%, lasting 15s. Repeated triggers reset the duration. Passive effects of the same name do not stack.","Increases Daze of attacks by 6%."
Proto Punk,"When any squad member triggers a Defensive Assist or Evasive Assist, all squad members deal 15% increased DMG, lasting 10s. Passive effects of the same name do not stack.","Shield Effect +15%."
Punk Hormonal,"Upon entering combat or switching in, its user's ATK increased by 25% for 10s. This effect can be triggered once every 20s.","ATK +10%."
Rock espiritual,"Upon receiving an enemy attack and losing HP, the equipper takes 40% less DMG for 2.5s. This effect can trigger once every 15s.","DEF +16%."
Tecno Pícido,"Triggering a critical hit with a Basic Attack, Dodge Counter or EX Special Attack increases the equippers ATK by 9% for 6s. The buff duration for different skills are calculated separately.","CRIT Rate +8%."
Tecno Tetraodóntido,"Ultimate DMG increases by 20%. Launching an Ultimate increases the equippers ATK by 15% for 12s.","PEN Ratio +8%."
Voz Astral,"Whenever any squad member enters the field using a Quick Assist, all squad members gain 1 stack of Astral, up to a maximum of 3 stacks, and lasting 15s. Repeated triggers reset the duration. Each stack of Astral increases the DMG dealt by the character entering the field using a Quick Assist by 8%. Only one of this effect can be active at a time in the same squad.","ATK +10%."
Floración del alba,"Increases Basic Attack DMG by 20%. When equipped by an Attack character, using an EX Special Attack or Ultimate will further increase Basic Attack DMG by 20% for 25s. Repeated triggers reset the duration.","Increases Basic Attack DMG by 15%."
Nana a la Luz Cenicienta,"When the equipper is a Support character and uses an EX Special Attack or Ultimate, the DMG dealt by all squad members increases by 18% for 25s. Repeated triggers reset the duration. Passive effects of the same name do not stack.","Energy Regen +20%."
Balada de Aguas Blancas,"When the equipper is within any [Ether Veil], their CRIT Rate increases by 10%. After leaving the Ether Veil, this buff remains for 15s. If the equipper is an Attack character, activating an Ether Veil or extending an Ether Veil's duration increases their CRIT Rate by 10% and ATK by 10% for 30s. Repeated triggers reset the duration.","Physical DMG +10%."
Aria Radiante,"When the equipper's Basic Attack hits an enemy, their Anomaly Proficiency increases by 36, lasting 8s. Repeated triggers reset the duration. When any enemy on the field is Stunned, the equipper's DMG increases by 25% for 18s. Repeated triggers reset the duration.","Ether DMG +10%."
Conejo en el país de las maravillas,"When the equipper is a Defense character: When the equipper launches an EX Special Attack or any squad member triggers a Defensive Assist or Evasive Assist, all squad members' DMG increases by 6%, stacking up to 3 times, lasting 25s. Stacks decay one at a time, and duration refreshes when gained or decayed. Passive effects of the same name do not stack.","HP +10%."
Diario de una prisionera,"When the equipper triggers Abloom, their Anomaly Proficiency increases by 48 for 30s; repeated triggers reset the duration. When the equipper triggers a Freeze effect, their All-Attribute Anomaly DMG and Disorder DMG increase by 16% for 30s; repeated triggers reset the duration.","Ice DMG +10%."
